Lat,Long,Country,Tests,n=E+3,n=E+4,n=E+5,n=E+6,n=E+7,n=E+8,n=E+9,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,n=E+3,n=E+4,n=E+5,n=E+6,n=E+7,n=E+8,>E+8,>E+7,,Country,the proportion of the positive tests,error,,,,Country,x,x1,Country,n,n1,,Country,err 1E-5,err 9E-5,err 1E-4,err 2E-4,err 3E-4,err 4E-4,err 5E-4,err 6E-4,err 7E-4,err 8E-4,err 9E-4,err 1E-3,total population with err 1E-3,20% population with err 1E-3,10% population with err 1E-3,2% population with err 1E-3,1% population with err 1E-3,total population with err 2E-3,total population with err 3E-3,Country,total population with err 1E-3,Country,10% population with err 1E-3,20% population with err 1E-3,Country,total population with err 2E-3,total population with err 3E-3,Country,1% population with err 1E-3,2% population with err 1E-3,,Country,err 1E-5,err 9E-5,err 1E-4,err 2E-4,err 3E-4,err 4E-4,err 5E-4,err 6E-4,err 7E-4,err 8E-4,err 9E-4,err 1E-3,total population with err 1E-3,20% population with err 1E-3,10% population with err 1E-3,2% population with err 1E-3,1% population with err 1E-3,total population with err 2E-3,total population with err 3E-3,,,,,,,,
37.0902,-95.7129,USA,81102397,0.102787911,0.10344335,0.10551603,0.11207042,0.13279722,0.198341117,0.405609119,0.188809997,0.111117312,0.103348089,0.10256955,0.102484787,,30.9756,112.2707,China,90410000,0.888975716,0.181134153,0.110349724,0.10327128,0.102563459,,30.9756,112.2707,China,90410000,0.105100472,0.11075631,0.12864164,0.185200017,0.364053312,0.92963709,-9590000,80410000,,Egypt,0.729607407,0.004040697,,,,Cyprus,0.999994998,5.00179E-06,Bolivia,27881042102,116621.4591,,China,0.888975716,7.178915877,7.96466222,15.81036394,23.62351431,31.3888108,39.09204654,46.72036513,54.26243831,61.70856509,69.05069779,76.2824052,,,,,,,,China,304.059051,China,96.2219907,136.0359937,China,566.379277,785.1169318,China,30.49814141,43.08843462,,China,0.888975716,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.235,-51.9253,Brazil,14352484,0.102665805,0.103057217,0.104294969,0.108209086,0.12058661,0.159727771,0.283502996,0.124171104,0.104653393,0.102701443,0.102506673,0.102484787,,-33.8688,151.2093,Australia,6164296,0.200239954,0.112260305,0.103462339,0.102582548,0.102494555,,-40.9006,174.886,New Zealand,750808,0.104157535,0.10777448,0.119212263,0.155381712,0.269759551,0.631454036,-99249192,-9249192,,Bolivia,0.478552576,0.003414969,,,,Kyrgyzstan,0.999994995,5.00458E-06,Suriname,27867378990,3353878.805,,Australia,0.200239954,0.982268927,1.080019458,2.057451115,3.034676876,4.011594113,4.988100586,5.964094565,6.939474959,7.914141432,8.88799453,9.860935791,,,,,,,,India,33.4449293,India,10.64629153,15.01367928,India,66.78702098,785.1169318,India,3.436729238,4.81781851,,Australia,,0.982268927,,,,,,,,,,,,,,,,,,,,,,,,,
21,78,India,40406609,0.102768392,0.103381623,0.105320833,0.111453151,0.130845245,0.192168431,0.386089377,0.159493265,0.108185635,0.103054863,0.102542691,0.102484787,,60,90,Russia,36000000,0.195723774,0.111808685,0.103417175,0.102577962,0.102492525,,31.24,36.51,Jordan,810061,0.104145347,0.107735937,0.119090382,0.154996289,0.268540737,0.627599807,-99189939,-9189939,,Suriname,0.475869539,0.018310528,,,,Oman,0.999994974,5.02593E-06,Mexico,27575163687,20665.9095,,Russia,0.195723774,0.941635434,1.034874333,1.967261938,2.89964566,3.832023558,4.764393691,5.696754117,6.629102898,7.561438091,8.493757758,9.426059959,,,,,,,,Thailand,31.52922401,Thailand,10.04049233,14.15694983,Thailand,62.68612472,100.1284071,Thailand,3.245158709,4.54689687,,Russia,,0.941635434,,,,,,,,,,,,,,,,,,,,,,,,,
60,90,Russia,36000000,0.1029762,0.10403877,0.107398913,0.118024618,0.151626048,0.257883098,0.593897394,0.195723774,0.111808685,0.103417175,0.102577962,0.102492525,,37.0902,-95.7129,USA,81102397,0.188809997,0.111117312,0.103348089,0.10256955,0.102484787,,-33.8688,151.2093,Australia,6164296,0.103729869,0.106422082,0.114935608,0.141857739,0.226992994,0.49621431,-93835704,-3835704,,Mexico,0.443452187,0.001437563,,,,El Salvador,0.999994972,5.028E-06,Honduras,27158184509,192455.6352,,USA,0.188809997,0.879411671,0.965736875,1.828988818,2.69224047,3.555491684,4.418742317,5.281992222,6.145241253,7.008489265,7.871736113,8.73498165,,,,,,,,Australia,19.96859875,Australia,6.384701625,8.986881041,Australia,39.63128751,93.3297449,Australia,2.089096183,2.911977567,,USA,,0.879411671,0.965736875,,,,,,,,,,,,,,,,,,,,,,,,
-9.19,-75.0152,Peru,3156679,0.102684282,0.103115646,0.10447974,0.108793383,0.122434317,0.165570735,0.301980082,0.113693297,0.103605636,0.102596784,0.10249573,0.102484787,,51,9,Germany,11208091,0.160789583,0.108315266,0.103067831,0.102543206,0.102490258,,55.1694,23.8813,Lithuania,634751,0.103686375,0.106284541,0.114500663,0.140482322,0.222643543,0.482460137,-99365249,-9365249,,Honduras,0.416755248,0.004386934,,,,Latvia,0.999994967,5.03329E-06,Guinea,26633825226,1129126.048,,Germany,0.160789583,0.627227708,0.685532413,1.268578017,1.851619581,2.434655082,3.017682502,3.60069982,4.183705017,4.766696074,5.349670972,5.932627695,,,,,,,,Russia,18.87513565,Russia,6.038918232,8.497869476,Russia,37.64388029,58.91061654,Russia,1.979749873,2.757338532,,Germany,,0.627227708,0.685532413,,,,,,,,,,,,,,,,,,,,,,,,
-30.5595,22.9375,South Africa,3652970,0.102698028,0.103159114,0.104617195,0.109228055,0.123808872,0.169917466,0.315725633,0.115373022,0.103773612,0.102613685,0.102498189,0.102484787,,21,78,India,40406609,0.159493265,0.108185635,0.103054863,0.102542691,0.102484787,,15,101,Thailand,749213,0.103675798,0.106251094,0.114394895,0.140147856,0.221585868,0.479115474,-99250787,-9250787,,Guinea,0.392190945,0.010625436,,,,Guatemala,0.999994945,5.05541E-06,Afghanistan,26117821065,255104.1801,,India,0.159493265,0.615561079,0.672569554,1.242654262,1.812738848,2.382823254,2.952907418,3.52299128,4.093074781,4.663157859,5.233240455,5.803322507,,,,,,,,S. Korea,18.13411831,S. Korea,5.804587974,8.166476447,S. Korea,36.13563896,56.4048235,S. Korea,1.905648139,2.652542855,,India,,0.615561079,0.672569554,,,,,,,,,,,,,,,,,,,,,,,,
4.5709,-74.2973,Colombia,2685355,0.102677283,0.103093512,0.104409745,0.10857204,0.121734372,0.163357313,0.294980616,0.112460001,0.103482308,0.102584631,0.102494264,0.102484787,,31.24,36.51,Jordan,810061,0.149746918,0.107211003,0.102957409,0.102532048,0.102489513,,35.1264,33.4299,Cyprus,286736,0.103602575,0.106019544,0.113662671,0.137832358,0.214263623,0.455960502,-99713264,-9713264,,Afghanistan,0.372559362,0.00505072,,,,Bolivia,0.999994939,5.06073E-06,Ecuador,25274112211,77396.89915,,Jordan,0.149746918,0.527824772,0.575079706,1.04751479,1.519630842,1.991269927,2.462275994,2.932495466,3.401777809,3.869976065,4.33694735,4.802553312,,,,,,,,USA,17.55039147,USA,5.61999734,7.90542587,USA,34.99800395,54.07754515,USA,1.847275456,2.569991414,,Jordan,,0.527824772,0.575079706,,,,,,,,,,,,,,,,,,,,,,,,
23.6345,-102.5528,Mexico,1334331,0.102646181,0.102995161,0.104098731,0.107588526,0.11862423,0.153522177,0.263879197,0.108380282,0.103074328,0.102543716,0.102490258,0.102484787,,56.2639,9.5018,Denmark,2400103,0.149629534,0.107199262,0.102956235,0.102531933,0.102489525,,56.8796,24.6032,Latvia,248932,0.103564267,0.105898402,0.113279587,0.136620942,0.210432786,0.443846334,-99751068,-9751068,,Ecuador,0.345751978,0.002782019,,,,Ecuador,0.999994939,5.06121E-06,Argentina,24636615083,20154.975,,Denmark,0.149629534,0.526785428,0.573929396,1.045356682,1.516749333,1.988090049,2.459361555,2.930546605,3.401627993,3.872588556,4.343411188,4.814078841,0.0001,,,,,,,Jordan,16.79647326,Jordan,5.381587469,7.568263397,Malaysia,33.3806411,52.44502811,Jordan,1.771883635,2.463371278,,Denmark,,0.526785428,0.573929396,,,,,,,,,,,,,,,,,,,,,,,,
-35.6751,-71.543,Chile,2365753,0.102697023,0.103155937,0.10460715,0.109196288,0.123708417,0.1695998,0.314721072,0.11280775,0.103517084,0.102588021,0.10249573,0.102484787,,-40.9006,174.886,New Zealand,750808,0.148319537,0.107068265,0.102943135,0.102530623,0.102489375,,22.3,114.2,Hong Kong,780415,0.103511692,0.105732145,0.112753836,0.13495837,0.205175274,0.42722062,-99219585,-9219585,,Argentina,0.32824972,0.001419681,,,,Panama,0.999994939,5.06132E-06,Guatemala,23729362057,98566.37545,,New Zealand,0.148319537,0.514978367,0.560805928,1.01896742,1.476810271,1.934176788,2.390911213,2.84686033,3.30187405,3.755805955,4.208513806,4.659860006,0.00001,0.00001,,,,,,Malaysia,16.76744209,Malaysia,5.372407006,7.555280262,Jordan,32.97321221,49.89223597,Malaysia,1.768980518,2.459265651,,New Zealand,,0.514978367,0.560805928,,,,,,,,,,,,,,,,,,,,,,,,
-38.4161,-63.6167,Argentina,1222359,0.102655536,0.103024741,0.104192272,0.10788433,0.119559639,0.15648021,0.27323333,0.108454542,0.103081746,0.102544473,0.102490258,0.102484787,,43,12,Italy,8509618,0.144922863,0.106728595,0.102909164,0.102527168,0.102488656,,56.2639,9.5018,Denmark,2400103,0.103447104,0.105527902,0.112107962,0.132915937,0.198716533,0.406796288,-97599897,-7599897,,Guatemala,0.306045816,0.003139513,,,,Slovakia,0.999994924,5.07591E-06,Panama,22508122536,68917.11356,,Italy,0.144922863,0.484427392,0.526865439,0.951245438,1.375624132,1.800000867,2.224374991,2.648745851,3.073112795,3.497475169,3.921832323,4.346183602,1,,,,,,,Germany,16.04688036,Germany,5.144545381,7.233035261,Germany,31.98575582,48.27797273,Germany,1.696924345,2.357362834,,Italy,,,0.526865439,0.951245438,,,,,,,,,,,,,,,,,,,,,,,
