Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,,Country,clinical deterioration rate,error,,Country,x,x1,Country,n,n1
37.0902,-95.7129,USA,81102397,0.103498105,0.105689181,0.11261797,0.134528726,0.203816621,0.422924181,0.391062473,0.131342558,0.105370563,0.102773374,0.102513739,,,37.0902,-95.7129,USA,81102397,0.391062473,0.131342558,0.105370563,0.102773374,0.102513739,,15.7835,-90.2308,Guatemala,240745,0.106033173,0.113705768,0.137968646,0.214694601,0.457323374,1.224582922,,,Antigua and Barbuda,0.5,0.763378033,,Antigua and Barbuda,#NUM!,#NUM!,Antigua and Barbuda,27932436892,14897299.68
-14.235,-51.9253,Brazil,14352484,0.103234923,0.104856927,0.109986152,0.126206185,0.177498433,0.339698763,0.192352525,0.111471561,0.103383463,0.102574691,0.102493438,,,30.9756,112.2707,China,90410000,0.272652515,0.119501561,0.104186453,0.102655017,0.102500262,,9.082,8.6753,Nigeria,398304,0.105721725,0.112720883,0.134854165,0.204845749,0.42617857,1.126094406,,,Saint Martin,0.085271318,0.083196295,,Peru,0.999994277,5.7233E-06,Iran,12123793282,3806.699416
21,78,India,40406609,0.103229983,0.104841303,0.109936744,0.126049944,0.177004355,0.338136352,0.252279516,0.117464261,0.103982731,0.102634627,0.102499263,,,21,78,India,40406609,0.252279516,0.117464261,0.103982731,0.102634627,0.102499263,,6.6111,20.9394,CAR,31042,0.105515191,0.112067767,0.13278883,0.198314584,0.405525214,1.060782758,,,New Zealand,0.072992701,0.075493682,,Russia,0.999994273,5.72696E-06,Saint Martin,8714933727,3162167.535
60,90,Russia,36000000,0.103166509,0.10464058,0.109302003,0.124042718,0.170656949,0.318064092,0.23183237,0.115419545,0.10377826,0.102614148,0.102498189,,,60,90,Russia,36000000,0.23183237,0.115419545,0.10377826,0.102614148,0.102498189,,-22.3285,24.6849,Botswana,109547,0.105489093,0.111985235,0.132527842,0.19748927,0.402915341,1.052529615,,,Malaysia,0.051948052,0.061354119,,France,0.999994122,5.87759E-06,Pakistan,7597888143,2942.984413
-9.19,-75.0152,Peru,3156679,0.103320814,0.105128537,0.110845059,0.128922289,0.18608751,0.366859811,0.149456417,0.10718195,0.102954503,0.102531754,0.102489525,,,43,12,Italy,8509618,0.229331241,0.115169436,0.103753252,0.102611629,0.102497472,,15.2,-86.2419,Honduras,141114,0.105074685,0.110674763,0.128383765,0.184384545,0.361474562,0.921482368,,,Sint Maarten,0.032258065,0.038720962,,Colombia,0.999993766,6.2337E-06,New Zealand,7560167252,10069.37493
-30.5595,22.9375,South Africa,3652970,0.103414171,0.105423757,0.111778627,0.131874488,0.195423182,0.396381797,0.158656571,0.108101966,0.103046505,0.102540952,0.102490427,,,46.2276,2.2137,France,6175223,0.229042717,0.115140586,0.103750367,0.102611348,0.102497435,,60.472,8.4689,Norway,686202,0.105020277,0.110502712,0.127839691,0.182664032,0.356033824,0.904277242,,,Uruguay,0.018518519,0.038713284,,Mexico,0.999993057,6.94279E-06,Saudi Arabia,7454898335,1483.229201
4.5709,-74.2973,Colombia,2685355,0.103266142,0.104955649,0.110298337,0.127193403,0.180620291,0.349570945,0.142974926,0.106533801,0.102889687,0.102525272,0.102488891,,,50.8333,4,Belgium,2234172,0.204491012,0.112685426,0.103504851,0.102586794,0.102494989,,1.5,10,Equatorial Guinea,51944,0.104988384,0.110401855,0.127520753,0.181655463,0.352844446,0.894191543,,,Thailand,0.009009009,0.038178738,,Brazil,0.999992589,7.41148E-06,Bahamas,6663737919,603763.5154
23.6345,-102.5528,Mexico,1334331,0.102970198,0.10401979,0.107338894,0.11783482,0.151025854,0.255985117,0.120216108,0.104257919,0.102662102,0.102502516,0.102486721,,,-14.235,-51.9253,Brazil,14352484,0.192352525,0.111471561,0.103383463,0.102574691,0.102493438,,41.6086,21.7453,North Macedonia,147002,0.104883922,0.110071518,0.126476136,0.178352093,0.342398274,0.861157849,,,Hong Kong,0.055555556,0.037974031,,Argentina,0.999992446,7.5545E-06,Chile,6428946513,2717.505383
-35.6751,-71.543,Chile,2365753,0.102819042,0.103541793,0.105827335,0.113054851,0.135910262,0.208185423,0.118742606,0.10411057,0.102647371,0.102501201,0.102484787,,,31.7917,-7.0926,Morocco,1890964,0.177607297,0.109997043,0.103236012,0.10255991,0.10249231,,-16.2902,-63.5887,Bolivia,239073,0.104710692,0.109523715,0.124743832,0.172874069,0.32507524,0.806377603,,,China,0.020491803,0.032039391,,India,0.999992252,7.74845E-06,Madagascar,6083030181,106246.379
-38.4161,-63.6167,Argentina,1222359,0.103047339,0.104263732,0.108110304,0.120274235,0.15873996,0.280379264,0.122152862,0.104451595,0.102681467,0.102504467,0.102486721,,,-33.8688,151.2093,Australia,6164296,0.176056557,0.109841964,0.103220504,0.102558346,0.102492279,,50.8333,4,Belgium,2234172,0.104642871,0.109309248,0.124065629,0.1707294,0.318293202,0.784930917,,,French Guiana,0.032663317,0.03038504,,Philippines,0.999989973,1.00273E-05,Moldova,5902618765,28388.21097
32,53,Iran,3184857,0.102728191,0.103254499,0.10491883,0.110181907,0.126825218,0.179455987,0.116221195,0.103858423,0.102622118,0.102498189,0.102484787,,,51,9,Germany,11208091,0.171566407,0.10939295,0.103175604,0.102553887,0.102491488,,53.1424,-7.6921,Ireland,824712,0.10463144,0.1092731,0.123951316,0.170367912,0.317150076,0.781316036,,,Serbia,0.053547523,0.0276816,,South Africa,0.999989641,1.0359E-05,Hong Kong,5862363281,7511.853669
24,45,Saudi Arabia,5026127,0.102795191,0.103466369,0.105588822,0.112300608,0.13352514,0.200642998,0.124490902,0.104685397,0.10270487,0.102506673,0.102484787,,,56.2639,9.5018,Denmark,2400103,0.169665315,0.109202842,0.103156592,0.102551972,0.102491488,,-0.8037,11.6094,Gabon,116252,0.104502858,0.108866487,0.122665495,0.166301791,0.304291872,0.740654822,,,Madagascar,0.057783019,0.026896371,,Ukraine,0.99998751,1.24905E-05,Serbia,5662484389,6149.179661
30.3753,69.3451,Pakistan,2581695,0.102792256,0.103457089,0.105559475,0.112207804,0.133231667,0.199714959,0.118107395,0.104047045,0.102640986,0.102500262,0.102484787,,,39.3999,-8.2245,Portugal,1976482,0.168943367,0.109130647,0.103149373,0.102551244,0.102491418,,-13.254308,34.301525,Malawi,44296,0.104371563,0.108451296,0.121352544,0.162149872,0.291162353,0.699135637,,,Latvia,0.005434783,0.023282834,,Belgium,0.999986966,1.30344E-05,Uzbekistan,5606633865,4068.925779
46.2276,2.2137,France,6175223,0.104095296,0.107577662,0.118589873,0.15341354,0.263535644,0.611772316,0.229042717,0.115140586,0.103750367,0.102611348,0.102497435,,,60.472,8.4689,Norway,686202,0.168903117,0.10912664,0.103148972,0.102551206,0.102491427,,26,30,Egypt,135000,0.104336172,0.108339379,0.120998632,0.161030706,0.28762324,0.687943982,,,Bahamas,0.063699156,0.022667273,,Bolivia,0.999986733,1.32675E-05,Malaysia,5502628805,4463.06132
38.9637,35.2433,Turkey,6937088,0.102849124,0.103636922,0.106128157,0.114006133,0.138918484,0.217698252,0.132830115,0.105519321,0.10278824,0.10251525,0.102484787,,,9.082,8.6753,Nigeria,398304,0.167086152,0.108944976,0.103130806,0.102549389,0.102491247,,64,26,Finland,636019,0.10430435,0.108238751,0.12068042,0.160024432,0.28444112,0.677881234,,,Guyana,0.01754386,0.020016697,,Iraq,0.999985988,1.40117E-05,Turkey,5411136984,780.0300333
43,12,Italy,8509618,0.103859852,0.106833125,0.116235439,0.145968168,0.23999131,0.537318592,0.229331241,0.115169436,0.103753252,0.102611629,0.102497472,,,53.1424,-7.6921,Ireland,824712,0.164131934,0.108649511,0.10310126,0.102546434,0.102490952,,31.7917,-7.0926,Morocco,1890964,0.104212328,0.107947753,0.119760201,0.157114442,0.275238925,0.648781337,,,Turks and Caicos,0.008849558,0.018739509,,Honduras,0.999984693,1.53072E-05,French Guiana,3530260488,67028.56551
51,9,Germany,11208091,0.103137311,0.10454825,0.10901003,0.123119417,0.167737217,0.30883109,0.171566407,0.10939295,0.103175604,0.102553887,0.102491488,,,51.9194,19.1451,Poland,2660665,0.163213837,0.108557693,0.103092077,0.102545514,0.102490827,,46.2276,2.2137,France,6175223,0.104095296,0.107577662,0.118589873,0.15341354,0.263535644,0.611772316,,,Suriname,0.026785714,0.018240275,,Romania,0.999984047,1.59527E-05,Ecuador,3527046477,10800.87238
33,44,Iraq,1567133,0.103245513,0.104890415,0.11009205,0.126541064,0.178557415,0.343047558,0.132599681,0.105496277,0.102785934,0.102514911,0.102487846,,,52.9399,-73.5491,Canada,5402249,0.162058482,0.108442157,0.103080526,0.102544347,0.102490904,,39.3999,-8.2245,Portugal,1976482,0.103979661,0.107211994,0.117433528,0.149756858,0.2519722,0.575205492,,,Guinea,0.026373626,0.017964206,,Ethiopia,0.999977028,2.2972E-05,Sint Maarten,3487921333,1529119.392
13,122,Philippines,2515352,0.10324608,0.104892205,0.110097712,0.12655897,0.178614037,0.343226613,0.140666107,0.106302919,0.102866601,0.102522964,0.102488406,,,48.3794,31.1656,Ukraine,1516712,0.159265467,0.108162857,0.103052594,0.102541569,0.102490468,,-21.1351,55.2471,R¨¦union,35419,0.1039556,0.107135906,0.117192915,0.148995972,0.249566069,0.56759664,,,Cameroon,0.027777778,0.01687019,,USA,0.999976961,2.30392E-05,Oman,3485080166,11270.84384
