Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,case-fatality rate,error,,,Country,x,x1,Country,n,n1,,,,
37.0902,-95.7129,USA,81102397,0.102951526,0.103960746,0.107152179,0.117244377,0.149158708,0.250080684,0.235405031,0.115776807,0.103813965,0.102617912,0.102500262,,37.0902,-95.7129,USA,81102397,0.235405031,0.115776807,0.103813965,0.102617912,0.102500262,,25.3548,51.1839,Qatar,620128,0.104457133,0.108721891,0.122208242,0.164855829,0.29971934,0.726195207,,Italy,0.132930865,0.00219679,,,France,0.999994998,5.00159E-06,Italy,12877998608,1513.346264,,,,
-14.235,-51.9253,Brazil,14352484,0.102945089,0.103940389,0.107087806,0.117040811,0.148514977,0.248045029,0.157629808,0.107999289,0.103036232,0.102540045,0.102490258,,21,78,India,40406609,0.223765242,0.114612832,0.103697587,0.102606148,0.102498189,,-22.3285,24.6849,Botswana,109547,0.103809982,0.106675421,0.115736737,0.144391131,0.235004284,0.521548232,,Belgium,0.117757766,0.003718438,,,Turkey,0.999994995,5.00511E-06,Belgium,11607701208,5195.527116,,,,
21,78,India,40406609,0.10308813,0.104392727,0.108518222,0.121564183,0.162819134,0.293278744,0.223765242,0.114612832,0.103697587,0.102606148,0.102498189,,60,90,Russia,36000000,0.219232898,0.114159598,0.10365226,0.102601624,0.10249573,,26.0275,50.55,Bahrain,1095373,0.103809359,0.106673453,0.115730511,0.144371444,0.234942026,0.521351356,,France,0.112288555,0.002021539,,,Italy,0.999994995,5.00529E-06,France,11137202873,1803.530475,,,,
60,90,Russia,36000000,0.103100104,0.104430589,0.108637953,0.121942806,0.164016444,0.297064972,0.219232898,0.114159598,0.10365226,0.102601624,0.10249573,,30.9756,112.2707,China,90410000,0.208691186,0.113105431,0.103546858,0.102589747,0.102484787,,3.2028,73.2207,Maldives,110249,0.103806281,0.106663717,0.115699724,0.144274088,0.23463416,0.520377796,,Hungary,0.108308344,0.013798515,,,Pakistan,0.999994992,5.00788E-06,Hungary,10790596035,25821.61821,,,,
-9.19,-75.0152,Peru,3156679,0.102872637,0.103711277,0.106363288,0.114749683,0.141269794,0.225133747,0.124275884,0.104663897,0.102702683,0.102506328,0.102488656,,-14.235,-51.9253,Brazil,14352484,0.157629808,0.107999289,0.103036232,0.102540045,0.102490258,,-21.1351,55.2471,R¨¦union,35419,0.103778894,0.106577112,0.115425854,0.143408035,0.231895459,0.511717265,,Mexico,0.107854835,0.00134793,,,Saudi Arabia,0.999994966,5.03418E-06,Mexico,10750878688,8057.130268,,,,
-30.5595,22.9375,South Africa,3652970,0.103025932,0.104196038,0.107896237,0.119597294,0.156599286,0.273609857,0.135191484,0.105755457,0.10281186,0.102517501,0.102487523,,24,45,Saudi Arabia,5026127,0.154196647,0.107655973,0.103001903,0.102536477,0.102489905,,12.5186,-70.0358,Aruba,20869,0.10361445,0.106057095,0.113781416,0.138207864,0.215451077,0.459715561,,Canada,0.07137766,0.002408485,,,Germany,0.999994951,5.04918E-06,Canada,7405770526,1370.868045,,,,
4.5709,-74.2973,Colombia,2685355,0.102941889,0.10393027,0.107055807,0.11693962,0.148194983,0.247033117,0.126171998,0.104853508,0.102721658,0.102508479,0.102487523,,25.3548,51.1839,Qatar,620128,0.151600864,0.1073964,0.102975948,0.102533904,0.102489695,,7.9465,-1.0232,Ghana,439246,0.103512856,0.105735825,0.112765473,0.134995171,0.205291648,0.427588627,,Ireland,0.061873259,0.004752511,,,Iraq,0.999994894,5.10598E-06,Ireland,6485348586,7863.773761,,,,
23.6345,-102.5528,Mexico,1334331,0.102743266,0.10330217,0.105069579,0.110658616,0.128332703,0.184223071,0.111926642,0.103428972,0.102579198,0.102494264,0.102484787,,51,9,Germany,11208091,0.146571397,0.106893449,0.102925667,0.102528899,0.102490258,,21.694,-71.7979,Turks and Caicos,2367,0.103512647,0.105735166,0.112763389,0.134988579,0.205270803,0.427522708,,Ecuador,0.05789772,0.002323376,,,Philippines,0.999994816,5.18408E-06,Ecuador,6094363222,18662.76496,,,,
-35.6751,-71.543,Chile,2365753,0.102975911,0.104037858,0.107396029,0.118015499,0.15159721,0.257791903,0.126372582,0.104873566,0.102723664,0.102508636,0.102486721,,38.9637,35.2433,Turkey,6937088,0.146541472,0.106890455,0.102925345,0.102528729,0.102488656,,-0.8037,11.6094,Gabon,116252,0.103503659,0.105706744,0.112673509,0.134704354,0.204372004,0.424680457,,Iran,0.05744508,0.00127557,,,Iran,0.999994794,5.206E-06,Iran,6049623154,1899.496007,,,,
-38.4161,-63.6167,Argentina,1222359,0.103046367,0.104260659,0.108100588,0.120243509,0.158642797,0.280072009,0.122118892,0.104448197,0.102681129,0.102504419,0.102486721,,26.0275,50.55,Bahrain,1095373,0.146323391,0.106868648,0.102923173,0.102528625,0.102489166,,29.5,47.75,Kuwait,611639,0.103500637,0.105697187,0.112643288,0.134608787,0.204069793,0.423724783,,Egypt,0.054580343,0.002419473,,,Argentina,0.999994668,5.33162E-06,Egypt,5765403419,42706.69199,,,,
32,53,Iran,3184857,0.102829362,0.103574428,0.105930534,0.113381195,0.136942253,0.211448862,0.121930699,0.104429378,0.102679272,0.102504131,0.102484787,,31,35,Israel,2217857,0.144911321,0.106727441,0.102909052,0.102527212,0.102489113,,9.9456,-9.6966,Guinea,23588,0.103491999,0.10566987,0.112556903,0.134335615,0.203205949,0.420993069,,China,0.054497771,0.002602177,,,Chile,0.999994637,5.36334E-06,China,5757184082,63.67862053,,,,
24,45,Saudi Arabia,5026127,0.1032142,0.104791393,0.109778916,0.125550848,0.175426076,0.333145395,0.154196647,0.107655973,0.103001903,0.102536477,0.102489905,,-33.8688,151.2093,Australia,6164296,0.143782712,0.10661458,0.102897778,0.102526095,0.102488656,,3.9339,-53.1258,French Guiana,52668,0.103490997,0.105666701,0.112546883,0.134303927,0.203105742,0.420676187,,Switzerland,0.048056181,0.003500519,,,Mexico,0.999993524,6.47617E-06,Switzerland,5111276701,5106.762323,,,,
30.3753,69.3451,Pakistan,2581695,0.103040434,0.104241898,0.108041261,0.120055901,0.158049528,0.278195926,0.130717445,0.105308053,0.102767115,0.102513019,0.102487523,,6.4238,-66.5897,Venezuela,1734382,0.139199668,0.106156275,0.102851935,0.102521503,0.102488406,,41.3775,64.5853,Uzbekistan,1377915,0.103415616,0.105428326,0.111793074,0.131920176,0.195567659,0.396838673,,Slovenia,0.046930134,0.013302642,,,Colombia,0.999993467,6.53344E-06,Slovenia,4997414231,31736.26367,,,,
