Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,mortality rates ,error,,Country,x,x1,Country,n,n1,
37.0902,-95.7129,USA,81102397,0.102926728,0.103882326,0.106904193,0.116460175,0.146678844,0.242238665,0.228342754,0.115070578,0.103743351,0.10261051,0.102500262,,,37.0902,-95.7129,USA,81102397,0.228342754,0.115070578,0.103743351,0.10261051,0.102500262,,25.3548,51.1839,Qatar,620128,0.104434166,0.108649266,0.12197858,0.164129574,0.297422718,0.718932653,,Italy,0.13930866,0.002293705,,Pakistan,0.999994997,5.00348E-06,Italy,13396593079,1574.28842,
-14.235,-51.9253,Brazil,14352484,0.102918897,0.103857564,0.10682589,0.11621256,0.145895817,0.239762517,0.154492005,0.10768551,0.103004858,0.102536981,0.102490258,,,60,90,Russia,36000000,0.215982607,0.113834568,0.103619756,0.102598244,0.10249573,,26.0275,50.55,Bahrain,1095373,0.103759502,0.10651579,0.115231939,0.14279482,0.229956304,0.505585118,,France,0.126145957,0.002253217,,Saudi Arabia,0.999994986,5.01445E-06,France,12316322521,1994.47413,
21,78,India,40406609,0.10301962,0.104176077,0.107833114,0.119397683,0.15596806,0.271613747,0.209993628,0.11323567,0.103559885,0.102592283,0.10249573,,,21,78,India,40406609,0.209993628,0.11323567,0.103559885,0.102592283,0.10249573,,-22.3285,24.6849,Botswana,109547,0.103671347,0.106237019,0.114350386,0.140007105,0.221140774,0.477707965,,Belgium,0.12530261,0.003939719,,Argentina,0.999994979,5.02084E-06,Belgium,12245788782,5481.13072,
60,90,Russia,36000000,0.103082973,0.104376417,0.108466647,0.12140109,0.16230339,0.29164782,0.215982607,0.113834568,0.103619756,0.102598244,0.10249573,,,30.9756,112.2707,China,90410000,0.208634083,0.113099724,0.103546181,0.102589747,0.102484787,,3.2028,73.2207,Maldives,110249,0.103668926,0.106229362,0.114326174,0.139930541,0.220898659,0.47694233,,Hungary,0.123541247,0.015603266,,Italy,0.999994979,5.0215E-06,Hungary,12097963838,28950.11567,
-9.19,-75.0152,Peru,3156679,0.102843221,0.103618255,0.106069128,0.11381947,0.1383282,0.215831612,0.122623169,0.104498625,0.102686154,0.10250489,0.102484787,,,-14.235,-51.9253,Brazil,14352484,0.154492005,0.10768551,0.103004858,0.102536981,0.102490258,,7.9465,-1.0232,Ghana,439246,0.103499745,0.105694366,0.112634367,0.134580576,0.203980584,0.423442679,,Mexico,0.12013237,0.001491003,,Turkey,0.999994973,5.02699E-06,Mexico,11809899506,8850.802017,
-30.5595,22.9375,South Africa,3652970,0.103012863,0.104154709,0.107765544,0.119184006,0.155292354,0.269476976,0.134401578,0.105676466,0.10280395,0.10251669,0.102487523,,,24,45,Saudi Arabia,5026127,0.153162314,0.10755254,0.10299156,0.102535453,0.102489905,,-0.8037,11.6094,Gabon,116252,0.103489574,0.105662202,0.112532657,0.134258941,0.202963484,0.420226325,,Canada,0.072855041,0.002456379,,France,0.99999495,5.04986E-06,Canada,7547029843,1397.016288,
4.5709,-74.2973,Colombia,2685355,0.10289907,0.103794866,0.106627621,0.115585579,0.143913129,0.233492707,0.123953124,0.10463162,0.102699465,0.102506328,0.102487523,,,25.3548,51.1839,Qatar,620128,0.151028951,0.107339209,0.102970229,0.102533331,0.102489635,,3.9339,-53.1258,French Guiana,52668,0.103467649,0.105592869,0.112313406,0.13356561,0.200770979,0.413293018,,Ireland,0.064620532,0.004956239,,Germany,0.999994897,5.10294E-06,Ireland,6753473130,8188.886702,
23.6345,-102.5528,Mexico,1334331,0.102731405,0.103264661,0.104950965,0.110283526,0.127146566,0.180472182,0.111493364,0.103385642,0.102574858,0.102494264,0.102484787,,,38.9637,35.2433,Turkey,6937088,0.145295615,0.10676587,0.102912904,0.10252752,0.102488656,,9.9456,-9.6966,Guinea,23588,0.103462578,0.105576832,0.112262692,0.133405239,0.20026384,0.411689302,,Ecuador,0.063502395,0.002540689,,Iran,0.999994879,5.12085E-06,Ecuador,6644550247,20347.60236,
-35.6751,-71.543,Chile,2365753,0.102964578,0.104002019,0.107282695,0.117657104,0.150463867,0.254207959,0.125821335,0.104818442,0.102718157,0.102508161,0.102487523,,,51,9,Germany,11208091,0.145270994,0.106763408,0.102912642,0.10252752,0.102490258,,29.5,47.75,Kuwait,611639,0.103459323,0.105566541,0.112230148,0.133302324,0.199938396,0.410660156,,Iran,0.061405551,0.001360644,,Chile,0.999994724,5.27621E-06,Iran,6439533899,2021.92246,
-38.4161,-63.6167,Argentina,1222359,0.102976814,0.104040713,0.107405059,0.118044052,0.151687502,0.258077435,0.119687164,0.104205025,0.10265681,0.102501981,0.102486155,,,26.0275,50.55,Bahrain,1095373,0.144673295,0.106703639,0.102906672,0.102526975,0.102489003,,-21.1351,55.2471,R¨¦union,35419,0.103459136,0.105565948,0.112228274,0.133296397,0.199919654,0.41060089,,Egypt,0.055564169,0.002461802,,Iraq,0.999994566,5.43386E-06,Egypt,5863218676,43431.24945,
