Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,discharge rate,error,,Country,x,x1,Country,n,n1,,,,
37.0902,-95.7129,USA,81102397,0.102646134,0.102995012,0.104098262,0.107587041,0.118619525,0.153507328,0.148434092,0.107079718,0.102943863,0.102528558,0.102484787,,,30.9756,112.2707,China,90410000,0.206158303,0.112852134,0.103521526,0.10258744,0.102484787,,25.3548,51.1839,Qatar,620128,0.102982581,0.10405895,0.107462727,0.118226414,0.152264183,0.259901058,,Qatar,0.97334617,0.001564762,,France,0.999994998,5.00159E-06,Bolivia,27887654320,116649.1169,,,,
-14.235,-51.9253,Brazil,14352484,0.102678853,0.103098477,0.104425445,0.108621687,0.121891366,0.163853777,0.125734227,0.104809712,0.102716919,0.102506673,0.102484787,,,37.0902,-95.7129,USA,81102397,0.148434092,0.107079718,0.102943863,0.102528558,0.102484787,,2.5,112.5,Malaysia,1232927,0.102955223,0.103972438,0.107189151,0.117361292,0.149528427,0.251249839,,Malaysia,0.970054739,0.005907965,,Turkey,0.999994995,5.00511E-06,Ukraine,27887306854,18386.68571,,,,
21,78,India,40406609,0.102674257,0.103083945,0.104379491,0.108476368,0.121431827,0.162400595,0.14057098,0.106293382,0.102865747,0.102522694,0.102484787,,,60,90,Russia,36000000,0.141774313,0.106413722,0.10287751,0.102522694,0.102484787,,7.9465,-1.0232,Ghana,439246,0.102922041,0.103867506,0.10685733,0.116311981,0.146210213,0.240756724,,Ghana,0.965161612,0.002918638,,Italy,0.999994995,5.00529E-06,Guyana,27778135172,3438313.55,,,,
60,90,Russia,36000000,0.102691861,0.103139612,0.104555527,0.109033041,0.123192185,0.167967327,0.141774313,0.106413722,0.10287751,0.102522694,0.102484787,,,21,78,India,40406609,0.14057098,0.106293382,0.102865747,0.102522694,0.102484787,,44.0165,21.0059,Serbia,920852,0.102865272,0.103687986,0.106289638,0.114516781,0.140533292,0.222804725,,Serbia,0.953423694,0.003983208,,Pakistan,0.999994992,5.00788E-06,El Salvador,27750498204,89389.70701,,,,
-9.19,-75.0152,Peru,3156679,0.102659512,0.103037316,0.104232037,0.108010079,0.119957291,0.157737701,0.112301597,0.103466472,0.102582968,0.10249573,0.102484787,,,51,9,Germany,11208091,0.13024973,0.105261282,0.102762484,0.102512686,0.102484787,,15,101,Thailand,749213,0.10285427,0.103653196,0.106179621,0.114168879,0.139433129,0.219325705,,Thailand,0.950454412,0.0124365,,Saudi Arabia,0.999994966,5.03418E-06,Albania,27744558951,488331.5841,,,,
-30.5595,22.9375,South Africa,3652970,0.102717321,0.103220125,0.104810129,0.109838163,0.125738205,0.176018554,0.116539107,0.103890222,0.10262535,0.102499263,0.102484787,,,-14.235,-51.9253,Brazil,14352484,0.125734227,0.104809712,0.102716919,0.102506673,0.102484787,,3.9339,-53.1258,French Guiana,52668,0.102851834,0.103645491,0.106155256,0.114091828,0.139189474,0.218555199,,French Guiana,0.949757602,0.007668227,,Germany,0.999994951,5.04918E-06,Paraguay,27740144392,149203.9328,,,,
4.5709,-74.2973,Colombia,2685355,0.10266633,0.103058877,0.10430022,0.108225691,0.120639117,0.159893825,0.111892437,0.103425549,0.10257892,0.102494264,0.102484787,,,38.9637,35.2433,Turkey,6937088,0.125725968,0.104808913,0.102717176,0.102508,0.102484787,,30.3753,69.3451,Pakistan,2581695,0.102849609,0.103638457,0.106133011,0.114021484,0.138967027,0.21785176,,Pakistan,0.949108243,0.001351723,,Iraq,0.999994894,5.10598E-06,Trinidad and Tobago,27721355914,1183206.962,,,,
23.6345,-102.5528,Mexico,1334331,0.102658372,0.10303371,0.104220635,0.107974022,0.119843271,0.157377149,0.10882558,0.103118856,0.102548359,0.102490258,0.102484787,,,24,45,Saudi Arabia,5026127,0.123302997,0.104566608,0.102692988,0.102505259,0.102484787,,17.0608,-61.7964,Antigua and Barbuda,1875,0.102842069,0.103614611,0.106057605,0.113783031,0.138212971,0.215467224,,Antigua and Barbuda,0.946808511,0.080488415,,Philippines,0.999994816,5.18408E-06,USA,27591222115,340.2023015,,,,
-35.6751,-71.543,Chile,2365753,0.102808297,0.103507816,0.10571989,0.112715081,0.134835818,0.204787727,0.118220007,0.104058311,0.102642131,0.102500739,0.102484787,,,52.9399,-73.5491,Canada,5402249,0.121244839,0.104360798,0.102672417,0.10250374,0.102484787,,30.9756,112.2707,China,90410000,0.102829581,0.103575121,0.105932726,0.113388128,0.136964179,0.211518196,,China,0.942632687,0.002665741,,Iran,0.999994794,5.206E-06,Jamaica,27551002007,487680.1431,,,,
-38.4161,-63.6167,Argentina,1222359,0.102662562,0.10304696,0.104262535,0.108106521,0.120262268,0.158702119,0.108700196,0.103106327,0.10254693,0.102491488,0.102484787,,,30.3753,69.3451,Pakistan,2581695,0.121021553,0.104338464,0.102670149,0.102503341,0.102487523,,26.0275,50.55,Bahrain,1095373,0.102820749,0.103547192,0.105844408,0.113108842,0.136080998,0.208725334,,Bahrain,0.939366815,0.003519183,,Argentina,0.999994668,5.33162E-06,Romania,27468910078,15423.6276,,,,
32,53,Iran,3184857,0.102716019,0.103216007,0.104797107,0.109796984,0.125607982,0.175606749,0.115534255,0.103789735,0.1026153,0.102498189,0.102484787,,,43,12,Italy,8509618,0.120348368,0.104271145,0.102663594,0.10250374,0.102484787,,21,57,Oman,309212,0.102813603,0.103524595,0.105772947,0.112882863,0.135366391,0.206465549,,Oman,0.936509617,0.002795683,,Chile,0.999994637,5.36334E-06,R¨¦union,27457622715,775222.9796,,,,
24,45,Saudi Arabia,5026127,0.102778435,0.103413383,0.105421264,0.111770744,0.131849561,0.195344355,0.123302997,0.104566608,0.102692988,0.102505259,0.102484787,,,2.5,112.5,Malaysia,1232927,0.119003249,0.104136633,0.102649963,0.102501315,0.102486721,,-35.6751,-71.543,Chile,2365753,0.102808297,0.103507816,0.10571989,0.112715081,0.134835818,0.204787727,,Chile,0.93425145,0.001296963,,Mexico,0.999993524,6.47617E-06,Malawi,27407253276,618729.7561,,,,
30.3753,69.3451,Pakistan,2581695,0.102849609,0.103638457,0.106133011,0.114021484,0.138967027,0.21785176,0.121021553,0.104338464,0.102670149,0.102503341,0.102487523,,,-33.8688,151.2093,Australia,6164296,0.118612106,0.104097522,0.102645984,0.102500262,0.102484787,,41.3775,64.5853,Uzbekistan,1377915,0.102801997,0.103487893,0.105656887,0.112515849,0.134205791,0.202795411,,Uzbekistan,0.931404778,0.004169484,,Colombia,0.999993467,6.53344E-06,Tunisia,27385136279,196271.2327,,,,
46.2276,2.2137,France,6175223,0.102657217,0.10303006,0.10420909,0.107937512,0.119727815,0.157012035,0.116034805,0.103839795,0.102620142,0.10249573,0.102484787,,,-35.6751,-71.543,Chile,2365753,0.118220007,0.104058311,0.102642131,0.102500739,0.102484787,,-18.7669,46.8691,Madagascar,57254,0.102798667,0.103477362,0.105623584,0.112410535,0.133872758,0.201742264,,Madagascar,0.929822189,0.007021996,,Canada,0.999993388,6.61232E-06,Kenya,27222920677,61076.00854,,,,
38.9637,35.2433,Turkey,6937088,0.102763829,0.103367195,0.105275207,0.11130887,0.130388988,0.190725619,0.125725968,0.104808913,0.102717176,0.102508,0.102484787,,,-30.5595,22.9375,South Africa,3652970,0.116539107,0.103890222,0.10262535,0.102499263,0.102484787,,6,12,Cameroon,149000,0.102783963,0.103430865,0.105476548,0.111945567,0.132402399,0.197092582,,Cameroon,0.922108453,0.006475508,,South Africa,0.999993306,6.69372E-06,Slovakia,27093087918,81509.20121,,,,
