Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,recovery rates,error,,Country,x,x1,Country,n,n1,,
37.0902,-95.7129,USA,81102397,0.10284602,0.103627107,0.106097121,0.113907991,0.13860813,0.216716826,0.205358586,0.112772164,0.103513526,0.10258744,0.102500262,,,21,78,India,40406609,0.210162764,0.113252584,0.103561582,0.102592283,0.10249573,,25.3548,51.1839,Qatar,620128,0.104432365,0.10864357,0.121960568,0.164072616,0.297242602,0.718363073,,Qatar,0.998302251,0.000405718,,Pakistan,0.999994998,5.00174E-06,Belgium,25418398901,11377.10029,,
-14.235,-51.9253,Brazil,14352484,0.10290136,0.103802106,0.106650516,0.115657977,0.144142073,0.234216691,0.152390987,0.107475408,0.102983855,0.102534333,0.102484787,,,60,90,Russia,36000000,0.20926684,0.113162993,0.103552621,0.102591444,0.10249573,,26.0275,50.55,Bahrain,1095373,0.103771229,0.106552874,0.115349207,0.143165656,0.23112899,0.509293475,,Bahrain,0.996100198,0.00094804,,Saudi Arabia,0.999994995,5.00522E-06,France,21606304665,3498.870351,,
21,78,India,40406609,0.103020461,0.104178737,0.107841528,0.119424291,0.156052202,0.271879826,0.210162764,0.113252584,0.103561582,0.102592283,0.10249573,,,30.9756,112.2707,China,90410000,0.20854749,0.113091057,0.103545279,0.102589747,0.102484787,,3.2028,73.2207,Maldives,110249,0.103554209,0.105866597,0.11317901,0.13630289,0.20942702,0.440665821,,Maldives,0.99434686,0.003603283,,Argentina,0.999994992,5.00807E-06,Honduras,14517193191,102875.6409,,
60,90,Russia,36000000,0.103047578,0.104264488,0.108112695,0.120281796,0.158763871,0.280454876,0.20926684,0.113162993,0.103552621,0.102591444,0.10249573,,,37.0902,-95.7129,USA,81102397,0.205358586,0.112772164,0.103513526,0.10258744,0.102500262,,7.9465,-1.0232,Ghana,439246,0.103498078,0.105689095,0.112617698,0.134527864,0.203813893,0.422915556,,Ghana,0.993699097,0.00127929,,Turkey,0.999994967,5.03291E-06,Italy,13896235180,1633.003406,,
-9.19,-75.0152,Peru,3156679,0.102821905,0.103550849,0.105855971,0.113145407,0.136196628,0.209090991,0.12142556,0.104378862,0.102674203,0.10250374,0.102484787,,,24,45,Saudi Arabia,5026127,0.152406134,0.107476922,0.102984001,0.102534709,0.102489525,,3.9339,-53.1258,French Guiana,52668,0.103468832,0.105596611,0.11232524,0.133603031,0.200889315,0.413667226,,French Guiana,0.993316432,0.00294035,,Italy,0.999994953,5.04669E-06,Hungary,13484987850,32269.22839,,
-30.5595,22.9375,South Africa,3652970,0.1029945,0.104096642,0.10758192,0.118603337,0.153456117,0.263670284,0.133291759,0.105565484,0.102792854,0.102515617,0.102487523,,,-14.235,-51.9253,Brazil,14352484,0.152390987,0.107475408,0.102983855,0.102534333,0.102484787,,-21.1351,55.2471,R¨¦union,35419,0.103462429,0.105576362,0.112261206,0.13340054,0.200248981,0.411642315,,R¨¦union,0.993227991,0.009703873,,Iran,0.999994899,5.10052E-06,Martinique,13480474307,1102516.914,,
4.5709,-74.2973,Colombia,2685355,0.102886913,0.103756422,0.106506051,0.11520114,0.142697426,0.229648317,0.123323142,0.104568622,0.102693185,0.102505621,0.102487523,,,25.3548,51.1839,Qatar,620128,0.150984097,0.107334723,0.102969781,0.102533287,0.102489635,,29.5,47.75,Kuwait,611639,0.103453377,0.105547737,0.112170686,0.13311429,0.19934378,0.408779815,,Kuwait,0.993099933,0.001000899,,Germany,0.999994891,5.10873E-06,Mexico,13042289620,9774.403518,,
23.6345,-102.5528,Mexico,1334331,0.102719464,0.103226901,0.104831557,0.109905926,0.12595249,0.176696181,0.111057186,0.103342026,0.102570515,0.102493438,0.102484787,,,51,9,Germany,11208091,0.14515657,0.106751967,0.102911521,0.10252752,0.102484787,,9.9456,-9.6966,Guinea,23588,0.103441513,0.10551022,0.112052047,0.132739119,0.198157386,0.405028108,,Guinea,0.992926508,0.003084456,,Chile,0.999994708,5.29155E-06,Belize,10195066678,1279983.261,,
-35.6751,-71.543,Chile,2365753,0.102966674,0.104008647,0.107303656,0.11772339,0.150673481,0.254870819,0.125923289,0.104828637,0.102719173,0.102508241,0.102487523,,,38.9637,35.2433,Turkey,6937088,0.145070634,0.106743372,0.102910643,0.102527344,0.102488656,,-0.8037,11.6094,Gabon,116252,0.103425354,0.105459122,0.11189046,0.132228137,0.196541518,0.399918285,,Gabon,0.992679558,0.003369644,,Iraq,0.999994456,5.5442E-06,Angola,9443207834,145847.8051,,
-38.4161,-63.6167,Argentina,1222359,0.102968624,0.104014815,0.107323159,0.117785063,0.150868509,0.255487549,0.119400825,0.104176391,0.102653947,0.102501762,0.102486721,,,26.0275,50.55,Bahrain,1095373,0.145061412,0.10674245,0.102910554,0.102527361,0.102489058,,41.3775,64.5853,Uzbekistan,1377915,0.103386943,0.105337653,0.111506342,0.131013449,0.192700337,0.387771406,,Uzbekistan,0.992037762,0.001514539,,Colombia,0.999994367,5.63318E-06,Sint Maarten,8850312927,3880014.435,,
