Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,survivial-case-discharge rate,error,,Country,x,x1,Country,n,n1,
37.0902,-95.7129,USA,81102397,0.102646868,0.102997332,0.104105598,0.10761024,0.118692891,0.153739312,0.148643016,0.107100519,0.102945945,0.102528558,0.102484787,,,30.9756,112.2707,China,90410000,0.540769399,0.146313263,0.106867635,0.10292308,0.102528558,,30.9756,112.2707,China,90410000,0.103942419,0.107094225,0.11706111,0.148579168,0.248248019,0.563428598,,China,0.996965061,0.000649362,,Pakistan,0.999994997,5.00303E-06,Bolivia,27932273484,116835.7509,
-14.235,-51.9253,Brazil,14352484,0.102687903,0.103127098,0.104515951,0.108907893,0.122796431,0.166715842,0.126818511,0.104918125,0.102728003,0.102506673,0.102484787,,,37.0902,-95.7129,USA,81102397,0.148643016,0.107100519,0.102945945,0.102528558,0.102484787,,2.5,112.5,Malaysia,1232927,0.103109494,0.104460285,0.10873186,0.122239766,0.164955516,0.300034579,,Malaysia,0.983246301,0.004483664,,Turkey,0.999994988,5.01188E-06,Ukraine,27922028381,18409.57834,
21,78,India,40406609,0.102678451,0.103097206,0.104421427,0.108608979,0.12185118,0.163726707,0.141413939,0.106377654,0.102873834,0.102522694,0.102484787,,,60,90,Russia,36000000,0.143050809,0.106541361,0.102890704,0.102522694,0.102484787,,17.0608,-61.7964,Antigua and Barbuda,1875,0.10303167,0.104214183,0.107953618,0.119778748,0.157173094,0.2754244,,Antigua and Barbuda,0.978021978,0.058062047,,Saudi Arabia,0.999994973,5.02736E-06,Romania,27699318185,15553.00036,
60,90,Russia,36000000,0.102698589,0.103160887,0.104622804,0.10924579,0.123864959,0.170094824,0.143050809,0.106541361,0.102890704,0.102522694,0.102484787,,,21,78,India,40406609,0.141413939,0.106377654,0.102873834,0.102522694,0.102484787,,44.0165,21.0059,Serbia,920852,0.103004109,0.104127026,0.107678003,0.118907179,0.154416951,0.266708708,,Serbia,0.975565877,0.002952687,,France,0.999994948,5.05181E-06,Trinidad and Tobago,27655170154,1180382.012,
-9.19,-75.0152,Peru,3156679,0.102665655,0.103056742,0.104293467,0.108204336,0.120571588,0.159680274,0.112646736,0.103500995,0.102586266,0.10249573,0.102484787,,,51,9,Germany,11208091,0.136102661,0.105846576,0.102820911,0.102518515,0.102484787,,25.3548,51.1839,Qatar,620128,0.102997947,0.104107541,0.107616387,0.11871233,0.153800785,0.26476022,,Qatar,0.974960029,0.001519176,,Germany,0.999994919,5.08071E-06,Paraguay,27639442504,148662.2948,
-30.5595,22.9375,South Africa,3652970,0.102733225,0.103270417,0.104969169,0.110341092,0.127328603,0.18104783,0.117500341,0.103986344,0.102634927,0.102500262,0.102484787,,,52.9399,-73.5491,Canada,5402249,0.131642697,0.105400577,0.102776367,0.102513996,0.102488656,,7.9465,-1.0232,Ghana,439246,0.102963435,0.103998406,0.107271271,0.11762098,0.150349631,0.253846713,,Ghana,0.971104725,0.002674555,,Italy,0.999994911,5.08899E-06,Guyana,27612341817,3417792.031,
4.5709,-74.2973,Colombia,2685355,0.102672125,0.103077202,0.104358168,0.108408936,0.121218592,0.161726279,0.112192721,0.103455586,0.102581895,0.102494264,0.102484787,,,38.9637,35.2433,Turkey,6937088,0.128850592,0.10512137,0.102748438,0.102511027,0.102484787,,30.3753,69.3451,Pakistan,2581695,0.102952841,0.103964905,0.10716533,0.117285963,0.149290217,0.250496552,,Pakistan,0.969739318,0.001065001,,Iran,0.999994871,5.1293E-06,Jamaica,27604010794,488618.4514,
23.6345,-102.5528,Mexico,1334331,0.102676801,0.10309199,0.104404931,0.108556817,0.121686229,0.163205086,0.109498785,0.103186183,0.102554962,0.102492525,0.102484787,,,43,12,Italy,8509618,0.127130806,0.104949382,0.102731182,0.102509256,0.102484787,,15,101,Thailand,749213,0.102932942,0.103901979,0.106966341,0.116656706,0.147300329,0.244203974,,Thailand,0.966895318,0.010352583,,Iraq,0.99999486,5.14023E-06,El Salvador,27585031719,88856.70755,
-35.6751,-71.543,Chile,2365753,0.1028968,0.103787686,0.106604916,0.11551378,0.143686081,0.232774719,0.122524687,0.104488777,0.102685185,0.10250489,0.102484787,,,-14.235,-51.9253,Brazil,14352484,0.126818511,0.104918125,0.102728003,0.102506673,0.102484787,,-35.6751,-71.543,Chile,2365753,0.1028968,0.103787686,0.106604916,0.11551378,0.143686081,0.232774719,,Chile,0.960574859,0.001032625,,Philippines,0.999994793,5.20689E-06,Albania,27562645017,485129.7196,
-38.4161,-63.6167,Argentina,1222359,0.10266561,0.103056601,0.104293021,0.108202925,0.120567128,0.15966617,0.108806781,0.103116988,0.102548005,0.102491488,0.102484787,,,30.3753,69.3451,Pakistan,2581695,0.126266805,0.104862988,0.102722604,0.102508636,0.102487523,,52.9399,-73.5491,Canada,5402249,0.102881493,0.103739283,0.10645185,0.115029742,0.142155418,0.227934335,,Canada,0.957329622,0.001962142,,Argentina,0.999994706,5.29386E-06,Tunisia,27521573268,197249.0863,
