Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,,Lat,Long,Country,Tests,confidence(E-5),confidence(E-6),confidence(E-7),confidence(E-8),confidence(E-9),,Lat,Long,Country,Tests,E+3,E+4,E+5,E+6,E+7,E+8,,Country,ICU-case rates,error,,Country,x,x1,Country,n,n1,,,,,,,,,,,,,,,,
37.0902,-95.7129,USA,81102397,0.104032138,0.107377941,0.117958299,0.151416328,0.257219907,0.591800199,0.543146928,0.14655102,0.10689141,0.102925447,0.102528899,,,30.9756,112.2707,China,90410000,3.157193746,0.408199433,0.133056496,0.105541958,0.102790504,,30.9756,112.2707,China,90410000,0.112644036,0.134611153,0.204077277,0.423748448,1.118409685,3.315121396,,Saint Martin,0.052884615,0.052870489,,Pakistan,0.999994997,5.00303E-06,Saint Martin,5596300902,2030588.136,,,,,,,,,,,,,,,,
-14.235,-51.9253,Brazil,14352484,0.104183763,0.107857421,0.119474547,0.156211126,0.27238239,0.639748182,0.306025264,0.122838847,0.104520193,0.102688326,0.102505168,,,37.0902,-95.7129,USA,81102397,0.543146928,0.14655102,0.10689141,0.102925447,0.102528899,,15.7835,-90.2308,Guatemala,240745,0.112030316,0.1326704,0.197940077,0.404340919,1.05703769,3.121046107,,Bahamas,0.039808153,0.014355204,,Turkey,0.999994988,5.01188E-06,Bahamas,4270698005,386943.7352,,,,,,,,,,,,,,,,
21,78,India,40406609,0.104067491,0.107489737,0.118311829,0.152534289,0.26075521,0.60297981,0.42063042,0.134299365,0.105666245,0.102802929,0.102516573,,,43,12,Italy,8509618,0.502825746,0.142519943,0.106488304,0.102885139,0.102524821,,60.472,8.4689,Norway,686202,0.110638328,0.128268546,0.184020193,0.360322379,0.917838844,2.680860706,,Sint Maarten,0.018735363,0.022738822,,Saudi Arabia,0.999994973,5.02736E-06,Sint Maarten,2054078649,900516.7247,,,,,,,,,,,,,,,,
60,90,Russia,36000000,0.104131906,0.107693435,0.118955978,0.154571267,0.267196698,0.623349583,0.415003665,0.133736692,0.105609977,0.102797304,0.102516099,,,21,78,India,40406609,0.42063042,0.134299365,0.105666245,0.102802929,0.102516573,,64,26,Finland,636019,0.109526048,0.124751208,0.172897392,0.325148994,0.806610835,2.32912686,,Moldova,0.016236517,0.002246065,,France,0.999994948,5.05181E-06,Moldova,1784647160,8583.129302,,,,,,,,,,,,,,,,
-9.19,-75.0152,Peru,3156679,0.104091996,0.107567228,0.118556876,0.153309194,0.263205673,0.610728854,0.192784741,0.111514787,0.103387787,0.102575088,0.102493809,,,60,90,Russia,36000000,0.415003665,0.133736692,0.105609977,0.102797304,0.102516099,,9.082,8.6753,Nigeria,398304,0.109442032,0.124485526,0.172057232,0.322492176,0.798209238,2.302558675,,El Salvador,0.011075758,0.002222701,,Germany,0.999994919,5.08071E-06,El Salvador,1223785439,3942.048933,,,,,,,,,,,,,,,,
-30.5595,22.9375,South Africa,3652970,0.105180134,0.111008222,0.129438256,0.18771914,0.372019477,0.954828317,0.265391028,0.118775475,0.104113856,0.102647694,0.10250108,,,52.9399,-73.5491,Canada,5402249,0.389508958,0.131187702,0.105355079,0.102771816,0.102513487,,7.9465,-1.0232,Ghana,439246,0.109338402,0.12415782,0.171020935,0.319215117,0.787846268,2.269788087,,Antigua and Barbuda,0.010989011,0.046292627,,Italy,0.999994911,5.08899E-06,Antigua and Barbuda,1214307053,647630.4283,,,,,,,,,,,,,,,,
4.5709,-74.2973,Colombia,2685355,0.104068308,0.10749232,0.118319998,0.152560121,0.260836896,0.603238124,0.184543501,0.110690662,0.103305374,0.102566847,0.102492994,,,51,9,Germany,11208091,0.364653433,0.128701725,0.105106481,0.102746956,0.102511009,,53.1424,-7.6921,Ireland,824712,0.10837054,0.121097171,0.161342315,0.288608632,0.691060063,1.963723233,,Iran,0.010817304,0.00058412,,Iran,0.999994871,5.1293E-06,Iran,1195540651,375.3828355,,,,,,,,,,,,,,,,
23.6345,-102.5528,Mexico,1334331,0.1034969,0.105685369,0.112605917,0.13449061,0.203696085,0.422543014,0.139455752,0.106181884,0.102854496,0.102521757,0.102488533,,,56.2639,9.5018,Denmark,2400103,0.352135718,0.127451138,0.104981423,0.102734451,0.102509754,,1.5,10,Equatorial Guinea,51944,0.108073407,0.120157555,0.158370986,0.279212464,0.661346773,1.86976156,,Angola,0.009819967,0.006756764,,Iraq,0.99999486,5.14023E-06,Angola,1086408091,16779.28075,,,,,,,,,,,,,,,,
-35.6751,-71.543,Chile,2365753,0.104117764,0.107648714,0.118814559,0.15412406,0.265782507,0.61887752,0.181911177,0.11042743,0.103279051,0.102564214,0.102492734,,,60.472,8.4689,Norway,686202,0.316070513,0.123850424,0.104621358,0.102698444,0.102506153,,41.6086,21.7453,North Macedonia,147002,0.107902731,0.11961783,0.156664227,0.27381522,0.644279188,1.815789117,,Belize,0.008412198,0.010295823,,Philippines,0.999994793,5.20689E-06,Belize,931986071.6,117010.1785,,,,,,,,,,,,,,,,
-38.4161,-63.6167,Argentina,1222359,0.10356123,0.105888798,0.113249215,0.136524897,0.210129068,0.442885891,0.140119651,0.106248274,0.102861136,0.102522422,0.102488533,,,-14.235,-51.9253,Brazil,14352484,0.306025264,0.122838847,0.104520193,0.102688326,0.102505168,,-0.8037,11.6094,Gabon,116252,0.107697395,0.118968499,0.154610863,0.267321912,0.623745544,1.750856034,,Guadeloupe,0.007971656,0.009163323,,Argentina,0.999994706,5.29386E-06,Guadeloupe,883570931.8,29855.41246,,,,,,,,,,,,,,,,
